INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,COCHINSHIP,25-Aug-2026,0,,1390,1392,1375,1380,1380,23,127.4828,25200,6000,11-Jun-2026
FUTSTK,COFORGE,30-Jun-2026,0,,1395.5,1413.3,1357.3,1395,1395,5124,26721.5505,16043250,65625,11-Jun-2026
FUTSTK,COFORGE,28-Jul-2026,0,,1391.3,1410,1362.5,1398,1398,204,1340.5555,447450,20425,11-Jun-2026
FUTSTK,COFORGE,25-Aug-2026,0,,1390,1414.4,1372,1407.3,1407.3,22,144.8413,108775,2375,11-Jun-2026
FUTSTK,COLPAL,30-Jun-2026,0,,2049.1,2067.5,2025.5,2031.4,2031.4,1601,7359.053,4441950,-17550,11-Jun-2026
FUTSTK,COLPAL,28-Jul-2026,0,,2066.3,2081,2036.7,2039.2,2039.2,108,611.5197,138875,12100,11-Jun-2026
FUTSTK,COLPAL,25-Aug-2026,0,,2076,2076,2050,2050,2056.6,4,22.7095,9350,275,11-Jun-2026
FUTSTK,CONCOR,30-Jun-2026,0,,445,447,438.5,441.1,441.1,885,4885.1556,26742500,28750,11-Jun-2026
FUTSTK,CONCOR,28-Jul-2026,0,,447.5,447.95,441.45,444.1,444.1,74,411.295,1216250,18750,11-Jun-2026
FUTSTK,CONCOR,25-Aug-2026,0,,448.2,448.25,444,444.8,446.35,13,72.485,162500,12500,11-Jun-2026
FUTSTK,CROMPTON,30-Jun-2026,0,,254.95,258.35,252.85,254.4,254.4,1909,8774.2512,50475600,133200,11-Jun-2026
FUTSTK,CROMPTON,28-Jul-2026,0,,252.9,256.2,251.25,252.95,252.95,141,767.0856,1868350,116100,11-Jun-2026
FUTSTK,CROMPTON,25-Aug-2026,0,,253.7,256.6,253,255,255,26,142.6009,249400,15050,11-Jun-2026
FUTSTK,CUMMINSIND,30-Jun-2026,0,,5580,5726.5,5550,5567.5,5567.5,2898,32698.309,3998600,74000,11-Jun-2026
FUTSTK,CUMMINSIND,28-Jul-2026,0,,5603.5,5714.5,5535.5,5557.5,5557.5,100,1124.883,57200,2400,11-Jun-2026
FUTSTK,CUMMINSIND,25-Aug-2026,0,,5705,5706.5,5580,5580,5580,5,56.447,20600,200,11-Jun-2026
FUTSTK,DABUR,30-Jun-2026,0,,428.1,432.1,422.1,423.75,423.75,1492,7948.9563,20420000,93750,11-Jun-2026
FUTSTK,DABUR,28-Jul-2026,0,,425.05,429,419.5,420.45,420.45,134,709.2744,2708750,83750,11-Jun-2026
FUTSTK,DABUR,25-Aug-2026,0,,429,429,423,424.2,424.2,19,100.8431,182500,20000,11-Jun-2026
FUTSTK,DALBHARAT,30-Jun-2026,0,,1613.2,1637,1608.1,1613,1613,1869,9824.0305,4308850,152100,11-Jun-2026
FUTSTK,DALBHARAT,28-Jul-2026,0,,1645.6,1646.3,1615.7,1619.3,1619.3,128,676.1495,130650,8775,11-Jun-2026
FUTSTK,DALBHARAT,25-Aug-2026,0,,1656,1656,1625,1627.3,1627.3,27,143.5002,18850,4225,11-Jun-2026
FUTSTK,DELHIVERY,30-Jun-2026,0,,429.5,438.4,428.4,433.2,433.2,1150,10368.0944,27935725,-367275,11-Jun-2026
FUTSTK,DELHIVERY,28-Jul-2026,0,,434.05,439.9,433.5,436.45,436.45,57,516.259,300875,12450,11-Jun-2026
FUTSTK,DELHIVERY,25-Aug-2026,0,,439.4,441.15,439.4,441.15,438.25,8,73.1604,35275,10375,11-Jun-2026
FUTSTK,DIVISLAB,30-Jun-2026,0,,6679.5,6749.5,6668,6683.5,6683.5,1834,12310.032,2887500,-14300,11-Jun-2026
FUTSTK,DIVISLAB,28-Jul-2026,0,,6738.5,6754.5,6680,6686.5,6686.5,98,659.4075,112100,1000,11-Jun-2026
FUTSTK,DIVISLAB,25-Aug-2026,0,,6780,6792,6727.5,6730,6730,16,107.9165,2400,-500,11-Jun-2026
FUTSTK,DIXON,30-Jun-2026,0,,11460,11588,11335,11414,11414,7002,40180.8395,2512350,68200,11-Jun-2026
FUTSTK,DIXON,28-Jul-2026,0,,11400,11634,11390,11466,11466,536,3081.99,126900,9900,11-Jun-2026
FUTSTK,DIXON,25-Aug-2026,0,,11450,11711,11450,11513,11513,120,693.0245,15650,2400,11-Jun-2026
FUTSTK,DLF,30-Jun-2026,0,,561.05,568.5,558.05,565.15,565.15,1792,8348.7335,40096650,-103950,11-Jun-2026
FUTSTK,DLF,28-Jul-2026,0,,560.65,568.5,560.65,565.8,565.8,99,531.7872,1115300,29450,11-Jun-2026
FUTSTK,DLF,25-Aug-2026,0,,564.3,567.8,563.35,564.85,564.85,15,80.5082,1882900,7600,11-Jun-2026
FUTSTK,DMART,30-Jun-2026,0,,4052.4,4095,3985,3997.7,3997.7,2689,16237.7492,3243300,20850,11-Jun-2026
FUTSTK,DMART,28-Jul-2026,0,,4050,4100,4001,4013,4013,152,920.6498,51000,5250,11-Jun-2026
FUTSTK,DMART,25-Aug-2026,0,,4068.1,4074.7,4020,4024,4024,14,84.9002,8400,900,11-Jun-2026
FUTSTK,DRREDDY,30-Jun-2026,0,,1269.9,1286.9,1269,1275.6,1275.6,2125,16970.54,14821875,128750,11-Jun-2026
FUTSTK,DRREDDY,28-Jul-2026,0,,1273,1282.7,1267.6,1273.5,1273.5,93,741.7588,257500,24375,11-Jun-2026
FUTSTK,DRREDDY,25-Aug-2026,0,,1271.3,1272,1271.3,1272,1293.6,5,39.7456,19375,-1875,11-Jun-2026
FUTSTK,EICHERMOT,30-Jun-2026,0,,7156,7247.5,7110.5,7186.5,7186.5,3693,26544.4655,3494600,36400,11-Jun-2026
