INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,DALBHARAT,25-Aug-2026,0,,0,0,0,1731,1738.2,0,0,13325,0,19-Jun-2026
FUTSTK,DELHIVERY,30-Jun-2026,0,,456.4,464.5,455,461.6,461.6,924,8824.559,25721700,-338225,19-Jun-2026
FUTSTK,DELHIVERY,28-Jul-2026,0,,460.5,467,458.75,464.2,464.2,122,1171.5761,1174450,95450,19-Jun-2026
FUTSTK,DELHIVERY,25-Aug-2026,0,,461,469,461,466.6,466.6,15,144.8568,76775,0,19-Jun-2026
FUTSTK,DIVISLAB,30-Jun-2026,0,,6809,6809,6730,6763.5,6763.5,2755,18635.968,3062000,2900,19-Jun-2026
FUTSTK,DIVISLAB,28-Jul-2026,0,,6805,6809,6740,6774.5,6774.5,401,2716.9395,184000,23300,19-Jun-2026
FUTSTK,DIVISLAB,25-Aug-2026,0,,6822,6822,6780,6815,6815,12,81.58,4500,1000,19-Jun-2026
FUTSTK,DIXON,30-Jun-2026,0,,12525,12643,12370,12539,12539,15545,97214.607,2510500,121950,19-Jun-2026
FUTSTK,DIXON,28-Jul-2026,0,,12640,12671,12424,12572,12572,2226,13961.9585,220400,38000,19-Jun-2026
FUTSTK,DIXON,25-Aug-2026,0,,12673,12738,12495,12643,12643,267,1683.311,29100,4400,19-Jun-2026
FUTSTK,DLF,30-Jun-2026,0,,638.95,640.15,621.95,626.75,626.75,4805,24989.4257,42421500,-249975,19-Jun-2026
FUTSTK,DLF,28-Jul-2026,0,,644,644,623,627.5,627.5,1315,7903.8176,2303750,830300,19-Jun-2026
FUTSTK,DLF,25-Aug-2026,0,,636.35,638.4,621,625.35,625.35,678,4058.371,2931700,588050,19-Jun-2026
FUTSTK,DMART,30-Jun-2026,0,,4315,4340,4274.7,4305.4,4305.4,2954,19082.9967,2890500,-14550,19-Jun-2026
FUTSTK,DMART,28-Jul-2026,0,,4319.3,4350,4283,4312,4312,184,1191.6479,88200,6150,19-Jun-2026
FUTSTK,DMART,25-Aug-2026,0,,4340,4346.9,4300,4325.3,4325.3,20,129.7427,12750,900,19-Jun-2026
FUTSTK,DRREDDY,30-Jun-2026,0,,1268.8,1272,1260.9,1268.5,1268.5,2271,17966.3919,15433125,151250,19-Jun-2026
FUTSTK,DRREDDY,28-Jul-2026,0,,1269,1269.5,1257.5,1263.2,1263.2,580,4569.8956,807500,198750,19-Jun-2026
FUTSTK,DRREDDY,25-Aug-2026,0,,1269.2,1270.5,1264.6,1270,1270,24,190.0438,56875,7500,19-Jun-2026
